glyph_unified	src_ref	pronunciation	meaning
󳸊	D1-0155	ɣo̹̰²¹	大（没有他～）。
󳸋	D1-0156	mo̹³³	够（～得着），及（来得～）。
󳸌	D1-0157	ŋo̹̰²¹	思，思考，思索。
󳸍	D1-0158	kɔ³³	烤（～火）。
󳸎	D1-0159	ŋɔ³³	现在。
󳸏	D1-0160	kɯ³³	跪。
󳸐	D1-0161	pɔ²¹	子（脖～）。
󳸑	D1-0162	ʑḛ²¹	谢谢。
󳸒	D1-0163	t͡sʰḭ³³	代（世～），掐（用手～）。
󳸓	D1-0164	d͡ʑi³³	铜。
󳸔	D1-0165	ɬɔ³³	黄浓（～水）。
󳸕	D1-0166	mo̹³³	姑娘，女孩。
󳸖	D1-0167	kɔ⁵⁵/mɔ⁵⁵	里（这～）。
󳸗	D1-0168	lɑ̰⁵⁵	手。
󳸘	D1-0169	mi³³	自己，各人。
󳸙	D1-0170	nɯ²¹	吹（～风）。
󳸚	D1-0171	ɖɯ⁵⁵	鸽（～子）。
󳸛	D1-0172	t͡ɕʰi²¹	解（～绳子）。
󳸜	D1-0173	ʂɤ̰²¹/vɤ̰²¹	脆（吃的东西～）。
󳸝	D1-0174	no̹³³	春。
󳸞	D1-0175	ʂu³³	巴（尾～）。
󳸟	D1-0176	t͡ʂḭ⁵⁵	焦（煳臭）。
󳸠	D1-0177	kʰɑ̰³³	铁（～核桃）。
󳸡	D1-0178	pɔ³³	根（一～棍子）。
󳸢	D1-0179	ho̰³³	说。
󳸣	D1-0180	kʰɤ⁵⁵	舀。
󳸤	D1-0181	t͡sʰu³³	冬。
󳸥	D1-0182	t͡sʰo̹³³	葱。
󳸦	D1-0183	sɚ̰²¹	鳞（鱼鳞的～）。
󳸧	D1-0184	te²¹	扬（～谷子）。
󳸨	D1-0185	t͡si⁵⁵	云雀。
󳸩	D1-0186	si³³	咪咪（笑～～）。
󳸪	D1-0187	t͡ʂʰe²¹	稻谷。
󳸫	D1-0188	vu⁵⁵	卖。
󳸬	D1-0189	kʰɑ²¹	村寨。
󳸭	D1-0190	tu⁵⁵	哈（～人）。
󳸮	D1-0191	ⁿdʰɚ̰²¹	烂（煮～）。
󳸯	D1-0192	t͡ɕʰɯ²¹	窝（鸟，蜂～）。
󳸰	D1-0193	t͡ʂʰʅ²¹	借（～钱，粮）。
󳸱	D1-0194	mɔ²¹	尾（巴）。
󳸲	D1-0195	ʂe³³	夏。
󳸳	D1-0196	ve²¹	背子，背（一～柴）。
󳸴	D1-0197	d͡ʑi²¹	亲（～兄弟）。
󳸵	D1-0198	kʰɤ³³	劝。
󳸶	D1-0199	d͡ʑi²¹	福禄。
󳸷	D1-0200	po̰²¹	渣（豆腐～）。
󳸸	D1-0201	bḭ⁵⁵	蚂蚁。
󳸹	D1-0202	vi³³	远。
󳸺	D1-0203	d͡ʐʰʅ³³	涨（饭～）。
󳸻	D1-0204	li³³	私房（财产）。
󳸼	D1-0205	ɡo⁵⁵	披（自动）。
󳸽	D1-0206	d͡ʑo̹²¹	天井，院子。
󳸾	D1-0207	ⁿdʰe⁵⁵	蜇（蜂子～着）。
󳸿	D1-0208	ko³³	芝麻。
󳹀	D1-0209	ɕɔ³³	闲（～着）。
󳹁	D1-0210	mo²¹	炭（栗～）。
󳹂	D1-0211	t͡ʂe⁵⁵	养（～家畜）。
󳹃	D1-0212	kʰo̹²¹	背（脊～），顶（房～）。
󳹄	D1-0213	tɚ²¹	填（～土，～空）。
󳹅	D1-0214	no̹³³	近。
󳹆	D1-0215	ŋo̹³³	山药。
󳹇	D1-0216	d͡ʑo²¹	路。
󳹈	D1-0217	ⁿdʰu³³	侄。
󳹉	D1-0218	lo³³	獐子，麝（香）。
󳹊	D1-0219	ⁿdʰɔ³³	喝，咽下。
󳹋	D1-0220	t͡sʰe²¹	掉。
󳹌	D1-0221	tʰe³³	点（名）。
󳹍	D1-0222	kɯ⁵⁵	面（里～）。
󳹎	D1-0223	ᶯd͡ʐʰḭ⁵⁵	撕（～羊毛）。
󳹏	D1-0224	to̰⁵⁵	瘪（～谷）。
󳹐	D1-0225	t͡sʰi³³	吝啬。
󳹑	D1-0226	mɯ²¹	高粱。
󳹒	D1-0227	t͡sɤ³³	网（抬的鱼～）。
󳹓	D1-0228	bḛ²¹	球（松～），小（牛儿）。
󳹔	D1-0229	t͡ʂʰo̹³³	唇（嘴～）。
󳹕	D1-0230	zo̰⁵⁵	寄生（草树）。
󳹖	D1-0231	tʰɑ̰²¹	快（刀子～）。
󳹗	D1-0232	bo³³	薄（厚～）。
󳹘	D1-0233	d͡ʐʰo³³	麻雀。
󳹙	D1-0234	ŋo̹³³	藕。
󳹚	D1-0235	ʑo³³	痒。
󳹛	D1-0236	mo̰²¹	母（父～），大（～路）。
󳹜	D1-0237	ᶯd͡ʐʰe³³	楔（名词，动词）。
󳹝	D1-0238	vɑ̰³³	黏糊糊。
󳹞	D1-0239	nɚ̰²¹	稀（～泥巴）。
󳹟	D1-0240	ɑ⁵⁵	荫（树～）。
󳹠	D1-0241	vɑ⁵⁵/fḛ²¹	使…挑。
󳹡	D1-0242	tʰɑ̰⁵⁵	为，为了。
󳹢	D1-0243	zu²¹	大麦。
󳹣	D1-0244	tʰɤ̰⁵⁵	叩（～头），磕头。
󳹤	D1-0245	ɳɔ⁵⁵	噎（～脖子）。
󳹥	D1-0246	xo³³	掉（吃～，喝～）。
󳹦	D1-0247	kʰɔ³³	哪些。
󳹧	D1-0248	so⁵⁵	棉花。
󳹨	D1-0249	t͡ɕɚ²¹	山岭，山梁子。
󳹩	D1-0250	bo³³	旁，旁边。
󳹪	D1-0251	vɚ²¹	麻（花椒～）。
󳹫	D1-0252	hɚ²¹	破烂（衣物）。
󳹬	D1-0253	ʂɯ³³	尖刀草。
󳹭	D1-0254	sɯ⁵⁵	薰（烟子～）。
󳹮	D1-0255	d͡ʐʰɔ⁵⁵	面（外～）。
󳹯	D1-0256	po²¹	炸裂（玉麦花～～）。
󳹰	D1-0257	d͡ʑɚ²¹	亮（天～），清（～水），醒（酒～）。
󳹱	D1-0258	tɤ³³	折（～回），叠（～回）。
󳹲	D1-0259	ᶮd͡ʑʰo̹̰²¹	擦，搓（～手）。
󳹳	D1-0260	ŋo³³	五。
󳹴	D1-0261	kɔ²¹	使看。
󳹵	D1-0262	hɯ³³	草果。
󳹶	D1-0263	ɬu³³	炒（～菜）。
󳹷	D1-0264	ʂɑ̰²¹	汉（族）。
󳹸	D1-0265	t͡ɕʰɯ³³	伤（人和身）。
󳹹	D1-0266	ho²¹	家支名。
󳹺	D1-0267	hḭ⁵⁵	八。
󳹻	D1-0268	ŋo³³	我。
󳹼	D1-0269	d͡ʐʰɔ³³	叫（撵山狗～）。
󳹽	D1-0270	t͡ʂʰe²¹	晚饭。
󳹾	D1-0271	t͡ʂo̹⁵⁵	千斤扣。
󳹿	D1-0272	t͡ʂʅ̰⁵⁵	吮，吸。
󳺀	D1-0273	t͡ʂe³³	醃，酸（～味）。
󳺁	D1-0274	t͡ɕʰi³³	粪，肥料。
󳺂	D1-0275	te³³	脾。
󳺃	D1-0276	du²¹	通（～洞）。
󳺄	D1-0277	ɬi⁵⁵	崴（脚扭着）。
󳺅	D1-0278	lɑ̰³³	私房。
󳺆	D1-0279	ʂʅ̰⁵⁵	扭（～着脚），拧（～毛巾）。
󳺇	D1-0280	zɿ²¹	柱子。
󳺈	D1-0281	pʰo⁵⁵	人，族。
󳺉	D1-0282	po̰²¹	缎子。
󳺊	D1-0283	t͡ɕḛ⁵⁵/kḛ⁵⁵	再，又（～来）。
󳺋	D1-0284	ɕḭ⁵⁵	新（～旧）。
󳺌	D1-0285	pṵ²¹	教（～生牛）。
󳺍	D1-0286	to̰²¹	起。
󳺎	D1-0287	ɡo⁵⁵	行李。
󳺏	D1-0288	t͡ɕʰi⁵⁵	嫁，妻子。
󳺐	D1-0289	ɬi³³	四。
󳺑	D1-0290	t͡ʂo̹⁵⁵	捻（～毛线）。
󳺒	D1-0291	hɚ²¹	房子，房屋。
󳺓	D1-0292	hi⁵⁵	花獐（会掏蜂的）。
󳺔	D1-0293	t͡ʂʰʅ³³	孤（～儿），寡（～妇）。
󳺕	D1-0294	ᵐbʰɚ²¹	打（～枪），弹（～棉花）。
󳺖	D1-0295	ɑ²¹	蜘蛛。
󳺗	D1-0296	ɣo̰²¹	鞍。
󳺘	D1-0297	t͡ɕḛ⁵⁵	面（～前）。
󳺙	D1-0298	lɤ̰²¹	迟（～早），慢（～走）。
󳺚	D1-0299	t͡ɕḛ⁵⁵	前（～后）。
󳺛	D1-0300	vɑ̰⁵⁵	挑，扛（自动）。
󳺜	D1-0301	tɔ⁵⁵	邀约。
󳺝	D1-0302	kʰɤ̰⁵⁵/t͡sɔ²¹	台（～阶）。
󳺞	D1-0303	ɡɑ̰⁵⁵	野（～外）。
󳺟	D1-0304	ᵐbʰɤ⁵⁵	笨（～手～脚）。
󳺠	D1-0305	t͡sʰḛ⁵⁵	锡。
󳺡	D1-0306	tɔ³³	格，间（一～房）。
󳺢	D1-0307	xu²¹	尝（～味道）。
󳺣	D1-0308	kɤ³³	壳（蛋～，荞～）。
󳺤	D1-0309	pɤ²¹	襁褓（包小孩用），包，窠。
󳺥	D1-0310	d͡zḭ²¹	砍（～树）。
󳺦	D1-0311	vɚ²¹	客人。
󳺧	D1-0312	ʔɯ³³	肾。
󳺨	D1-0313	kʰu³³	喊，叫（～人）。
󳺩	D1-0314	t͡ɕḭ²¹	驮（一～粮食）。
󳺪	D1-0315	t͡ɕe³³	句（一～话）。
󳺫	D1-0316	ɬɤ̰²¹	脱（锄头～）。
󳺬	D1-0317	ɣu³³	窄（宽～）。
󳺭	D1-0318	so²¹	客人。
󳺮	D1-0319	t͡ɕo³³	李子。
󳺯	D1-0320	t͡ɕe⁵⁵	隔（～奶）。
󳺰	D1-0321	zo̹²¹	辈（一～子），生（一～）。
󳺱	D1-0322	ʑḛ²¹	月琴。
󳺲	D1-0323	xɤ³³	行李，披毡。
󳺳	D1-0324	t͡so̰²¹	根（尾～），蒂（花把～）。
󳺴	D1-0325	kɤ²¹	收（～庄稼）。
󳺵	D1-0326	t͡se²¹	茄子。
󳺶	D1-0327	fu³³	嫁（～姑娘）。
󳺷	D1-0328	xɚ³³	劈（～柴）。
󳺸	D1-0329	ʂɤ̰⁵⁵	阉（～鸡）。
󳺹	D1-0330	bḭ⁵⁵	裂（脚开～）。
󳺺	D1-0331	ɖɤ⁵⁵	荒，闲（～地）。
󳺻	D1-0332	de²¹	浅（深～）。
󳺼	D1-0333	de⁵⁵	穿（～鞋），戴（～帽），结（～果）。
󳺽	D1-0334	te²¹	撵（追赶之意）。
󳺾	D1-0335	e²¹	现在，如今。
󳺿	D1-0336	d͡zɚ̰²¹/³³	贼，土匪，小偷。
󳻀	D1-0337	d͡ʐʰḭ⁵⁵	四（～儿子）。
󳻁	D1-0338	xɔ⁵⁵	修（～树枝）。
󳻂	D1-0339	t͡ɕo⁵⁵	二（～儿子）。
󳻃	D1-0340	sɑ̰²¹	耳语。
󳻄	D1-0341	t͡ʂo³³	使…喂。
󳻅	D1-0342	d͡zɔ²¹	码（～柴），堆（动词）。
󳻆	D1-0343	d͡ʐʰɔ³³	正在（～～吃着）。
󳻇	D1-0344	lɑ⁵⁵/²¹	吗（表疑问）。
󳻈	D1-0345	sɿ⁵⁵	咱们。
󳻉	D1-0346	d͡zɿ³³	潮湿。
󳻊	D1-0347	ɣɚ²¹	实（老～，诚～，稳～）。
󳻋	D1-0348	ᶯd͡ʐʰɔ⁵⁵	绕开，称呼。
󳻌	D1-0349	ᶮd͡ʑʰɑ̰⁵⁵	弄脏，涂，画。
󳻍	D1-0350	po̰³³	场（哭一～，打一～）。
󳻎	D1-0351	d͡ʐʰɔ⁵⁵	才（我～不去）。
󳻏	D1-0352	ku³³	项圈。
󳻐	D1-0353	ɡɔ⁵⁵	空（～手）。
󳻑	D1-0354	t͡ʂo̰²¹/t͡ʂe³³	酱（面～）。
󳻒	D1-0355	lo⁵⁵/ɣɔ⁵⁵	香椿。
󳺃	D1-0356	du²¹	通（～洞）。
󳻔	D1-0357	me³³	妈。
󳻕	D1-0358	d͡ʐʰɔ²¹	周围。
󳻖	D1-0359	mɔ⁵⁵	妹子。
󳻗	D1-0360	t͡ɕo³³	筛（动词）。
󳻘	D1-0361	ɣɑ̰⁵⁵	叫（乌鸦～）。
󳻙	D1-0362	do̹³³	打（～铁，～粮）。
󳻚	D1-0363	d͡ʐʰe²¹	男奴隶。
󳻛	D1-0364	d͡ʐʰe²¹	鸡膆子树。
󳻜	D1-0365	t͡sḭ⁵⁵	节（竹～，骨～）。
󳻝	D1-0366	t͡ɕḭ²¹	剁（～肉）。
󳻞	D1-0367	t͡ɕe²¹	根（树～）。
󳻟	D1-0368	kʰo⁵⁵	药。
󳻠	D1-0369	t͡ɕi³³	称，秤，斤（一～）。
󳻡	D1-0370	te⁵⁵	浪费（～～财物）。
󳻢	D1-0371	ʔɤ⁵⁵	闷（～热，～洋芋）。
󳻣	D1-0372	ᶯd͡ʐʰe²¹	债，赊（～账）。
󳻤	D1-0373	ɣo³³	以后，之后。
󳻥	D1-0374	d͡zɔ³³	该，应该。
󳻦	D1-0375	pʰɚ̰²¹	卷（～袖）。
󳻧	D1-0376	ɡo̰⁵⁵	弯，回（～来了）。
󳻨	D1-0377	t͡ʂʅ³³	驮（动词）。
󳻩	D1-0378	zɑ̰⁵⁵	宴（客）。
󳻪	D1-0379	t͡sɤ³³	叫（公野鸡～）。
󳻫	D1-0380	nɚ³³	可口（味美）。
󳻬	D1-0381	tɚ²¹	使…沉淀，使…落底。
󳻭	D1-0382	tʰɤ⁵⁵	结（疙瘩）。
󳻮	D1-0383	ⁿdʰu³³	挖（地洞）。
󳻯	D1-0384	se³³	指甲。
󳻰	D1-0385	pʰi⁵⁵	相称。
󳻱	D1-0386	be²¹	瘿袋。
󳻲	D1-0387	t͡so̹³³	使…骑。
󳻳	D1-0388	t͡ɕʰḭ²¹	砍，伐（木）。
󳻴	D1-0389	d͡ʐʰʅ³³	蝉，知了。
󳻵	D1-0390	no³³	问，听（自动）。
󳻶	D1-0391	ɣɔ⁵⁵	蔬菜，青菜。
󳻷	D1-0392	xo̹⁵⁵	领，带，引（～路）。
󳻸	D1-0393	xɚ⁵⁵	晾（～东西）。
󳻹	D1-0394	d͡zo̹³³	骑（自动）。
󳻺	D1-0395	bu³³	虫，蚕。
󳻻	D1-0396	tʰɔ²¹	底（桶～，鞋～）。
󳻼	D1-0397	ɡɯ³³	家（我～里）。
󳻽	D1-0398	mḭ⁵⁵	竹笋。
󳻾	D1-0399	bu³³	河。
󳻿	D1-0400	lɤ̰⁵⁵	钻（～进）。
󳼀	D1-0401	d͡ʐʰʅ²¹	怪（～你）。
󳼁	D1-0402	ŋo³³	犁，耕（～地）。
󳼂	D1-0403	mo̰²¹	苞谷，玉米。
󳼃	D1-0404	mo̰³³	杨梅。
󳼄	D1-0405	ᶯd͡ʐʰɔ³³	午饭。
󳼅	D1-0406	dɤ³³	钝（刀～）。
󳼆	D1-0407	se⁵⁵/³³	好过，愉快。
󳼇	D1-0408	ɣɑ̰³³	鸡。
󳼈	D1-0409	tʰo̰⁵⁵	躲（～在某处）。
󳼉	D1-0410	kɑ̰²¹/lɯ²¹	楼。
󳼊	D1-0411	tʰu²¹	窝（下蛋的～）。
󳼋	D1-0412	dɚ³³	芋头。
󳼌	D1-0413	d͡ʐʰḭ⁵⁵	碎（～米）。
󳼍	D1-0414	d͡ʐʰɿ̰⁵⁵	叫（乱叫的～）。
󳼎	D1-0415	xɯ̰²¹	铸（～犁头）。
󳼏	D1-0416	ⁿd͡zʰe³³	边沿。
󳼐	D1-0417	no⁵⁵	引诱，割（绵羊）。
󳼑	D1-0418	t͡ʂʰo̹⁵⁵	织（～布）。
󳼒	D1-0419	me²¹	核桃。
󳼓	D1-0420	hḛ⁵⁵	站立。
󳼔	D1-0421	ɣɯ²¹	入，进入。
󳼕	D1-0422	sɿ²¹	主（～人）。
󳼖	D1-0423	t͡sʰe²¹	成（～不得）。
󳼗	D1-0424	t͡ʂɚ̰⁵⁵	喜鹊。
󳼘	D1-0425	t͡sʰɯ⁵⁵	肺。
󳼙	D1-0426	ɕɔ³³	芫荽。
󳼚	D1-0427	hɚ⁵⁵/d͡ʐʰɚ⁵⁵	很（～小）。
󳼛	D1-0428	kʰo̺³³	梿枷。
󳼜	D1-0429	ʂʅ⁵⁵	撒（～种）。
󳼝	D1-0430	ti³³	下的坡。
󳼞	D1-0431	be²¹	碓。
󳼟	D1-0432	d͡zɤ²¹	对，双（量词）。
󳼠	D1-0433	se²¹	夜间。
󳼡	D1-0434	zɑ̰⁵⁵	下（下去的～）。
󳼢	D1-0435	ʂʅ³³	青草。
󳼣	D1-0436	d͡zu³³	居（～住）。
󳼤	D1-0437	ɖɚ̰²¹	淡（盐～）。
󳼥	D1-0438	sɑ̰²¹	蒸（～饭）。
󳼦	D1-0439	ɣɑ̰⁵⁵	编（～织）。
󳼧	D1-0440	tʰɯ̰⁵⁵	除（～粪），出（～力）。
󳼨	D1-0441	dɔ⁵⁵	话。
󳼩	D1-0442	ʂɚ⁵⁵	筲箕。
󳼪	D1-0443	t͡ʂo̰²¹	藤（一～），棵（一～花）。
󳼫	D1-0444	ᵑɡʰɔ⁵⁵	讲（～价），议（价）。
󳼬	D1-0445	d͡ʐʰo̹⁵⁵	持（～刀），住（拿～）。
󳼭	D1-0446	te⁵⁵	匀（从整体中～出）。
󳼮	D1-0447	po̰²¹	渣（油～）。
󳼯	D1-0448	t͡ʂo̹³³	发炎（伤口～～）。
󳼰	D1-0449	lɑ̰²¹	篾帽。
󳼱	D1-0450	pʰḭ²¹	屁股。
󳼲	D1-0451	hɔ²¹	哭丧（放声诉哭）。
󳼳	D1-0452	t͡ɕʰe³³	处（宽～），形容词的尺度。
󳼴	D1-0453	ᶯd͡ʐʰu²¹	首（一～），曲（一～）。
󳼵	D1-0454	ʐɑ³³	仅，仅仅，只是。
󳼶	D1-0455	zɤ³³	用，使用。
󳼷	D1-0456	ʑo³³	痒。
󳼸	D1-0457	ɣo̰⁵⁵	小肚，怀（抱）。
󳼹	D1-0458	lḭ⁵⁵	翘（～尾）。
󳼺	D1-0459	hɔ⁵⁵	羡慕，爱慕（指人或物）。
󳼻	D1-0460	t͡ɕḛ²¹	放（～给，～盐）。
󳼼	D1-0461	ȵo̹²¹	弟弟。
󳼽	D1-0462	t͡ʂʰe²¹	尖，削尖。
󳼾	D1-0463	tʰɑ³³	一。
󳼿	D1-0464	ȵi⁵⁵	二。
󳽀	D1-0465	sɑ³³	三。
󳽁	D1-0466	t͡sʰḭ²¹	眨（～眼）。
󳽂	D1-0467	sɚ̰⁵⁵	认识，知道，懂。
󳽃	D1-0468	tʰi³³	他。
󳽄	D1-0469	ɡɔ³³	停（雨～）。
